id,title,image_url,artist,year,medium,collection,current_location,creation_location,height,width
224,Portrait du comte Antoine Français de Nantes,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20Portrait%20du%20comte%20Antoine%20Fran%C3%A7ais%20de%20Nantes.jpg,Jacques-Louis David,1811,panel,Musée Jacquemart-André,Musée Jacquemart-André,Unknown,114,75
146,The Death of Marat,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20Marat%20assassinated%20-%20Google%20Art%20Project%202.jpg,Jacques-Louis David,1793,oil paint,Royal Museums of Fine Arts of Belgium,Royal Museums of Fine Arts of Belgium,Unknown,165,128
1236,Napoleon at the Battle of Friedland,http://commons.wikimedia.org/wiki/Special:FilePath/Napoleon%20friedland.jpg,Horace Vernet,1836,canvas,Museum of the History of France,Galerie des Batailles,Unknown,465,543
374,Holy Family with Saint Elizabeth and the infant St. John,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Petite%20Sainte%20Famille%20-%20Rapha%C3%ABl%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20INV%20605.jpg,Raphael,1517,walnut panel,Department of Paintings of the Louvre,Room 710,Unknown,38,32
119,The Great Day of Girona,http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20Mart%C3%AD%20Alsina%20El%20gran%20dia%20de%20Girona.jpg,Ramon Martí Alsina,1863,oil paint,Museu Nacional d'Art de Catalunya,Museu Nacional d'Art de Catalunya,Unknown,5400,11900
986,Canigiani Holy Family,http://commons.wikimedia.org/wiki/Special:FilePath/Raffaello%20Santi%20-%20Sacra%20Famiglia%20Canigiani%20%28Alte%20Pinakothek%29.jpg,Raphael,1505,oil paint,Bavarian State Painting Collections,Alte Pinakothek,Unknown,131,107
251,Woman with a Water Jug,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Vermeer%20van%20Delft%20019.jpg,Johannes Vermeer,1660,oil paint,Metropolitan Museum of Art,Metropolitan Museum of Art,Unknown,45.7,40.6
1275,Self-portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Self%20portrait%2C%20by%20Giorgio%20da%20Castelfranco.jpg,Giorgione,1509,oil paint,Herzog Anton Ulrich Museum,Herzog Anton Ulrich Museum,Unknown,52,43
10,The Garden of the Tuileries on a Spring Morning,http://commons.wikimedia.org/wiki/Special:FilePath/WLA%20metmuseum%20Camille%20Pissarro%20French.jpg,Camille Pissarro,1899,oil paint,Metropolitan Museum of Art,Metropolitan Museum of Art,Unknown,73.3,92.1
450,Régates à Argenteuil,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Regattas%20at%20Argenteuil%20-%20Google%20Art%20Project.jpg,Claude Monet,1872,canvas,Musée d'Orsay,Musée d'Orsay,Unknown,480,750
256,Madonna and Child,http://commons.wikimedia.org/wiki/Special:FilePath/Masaccio.%20Madonna%20and%20Child.%201426.%20National%20Gallery%2C%20London.jpg,Masaccio,1426,egg tempera,National Gallery,National Gallery,Unknown,134.8,73.5
594,The Baptism of Christ,http://commons.wikimedia.org/wiki/Special:FilePath/Piero%20della%20Francesca%20-%20Battesimo%20di%20Cristo%20%28National%20Gallery%2C%20London%29.jpg,Piero della Francesca,1448,wood,National Gallery,National Gallery,Unknown,168,116
390,Banks of the Marne,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20C%C3%A9zanne%20-%20Banks%20of%20the%20Marne%20-%20Google%20Art%20Project.jpg,Paul Cézanne,1888,oil paint,Art Gallery of New South Wales,Art Gallery of New South Wales,Marne,63,79
1049,Malchiostro Annunciation,http://commons.wikimedia.org/wiki/Special:FilePath/Duomo%20%28Treviso%29%20-%20Interior%20-%20Annunciation%20by%20Titian%20crop.jpg,Titian,1520,oil paint,Treviso Cathedral,Malchiostro Chapel,Unknown,179,207
1064,Arearea,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Gauguin%20-%20Arearea%20-%20Google%20Art%20Project.jpg,Paul Gauguin,1892,oil paint,Musée d'Orsay,Musée d'Orsay,Unknown,74.5,93.5
558,The Story of Lucretia,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20-%20The%20Story%20of%20Lucretia%20-%20P16e20%20-%20Isabella%20Stewart%20Gardner%20Museum.jpg,Sandro Botticelli,1500,tempera,Isabella Stewart Gardner Museum,Isabella Stewart Gardner Museum,Unknown,84,180
461,Dead Eagle Owl,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89douard%20Manet%20-%20Le%20Grand%20Duc%20-%2061%20-%20Foundation%20E.G.%20B%C3%BChrle%20Collection.jpg,Édouard Manet,1881,oil paint,Foundation E.G. Bührle Collection,Kunsthaus Zürich,Unknown,97,64
1220,Lorenzo Pagans and Auguste de Gas,http://commons.wikimedia.org/wiki/Special:FilePath/Edgar%20Degas%20-%20Lorenzo%20Pagans%20and%20Auguste%20de%20Gas%20-%20Google%20Art%20Project.jpg,Edgar Degas,1869,canvas,Musée d'Orsay,Musée d'Orsay,Unknown,54,39
145,Portrait of Antoine-Laurent Lavoisier and his wife,http://commons.wikimedia.org/wiki/Special:FilePath/David%20-%20Portrait%20of%20Monsieur%20Lavoisier%20and%20His%20Wife.jpg,Jacques-Louis David,1788,oil paint,Metropolitan Museum of Art,Metropolitan Museum of Art,Unknown,259.7,194.6
502,Killing a Deer,http://commons.wikimedia.org/wiki/Special:FilePath/Courbet%20-%20L%27Hallali%20du%20cerf.jpg,Gustave Courbet,1867,oil paint,Musée des Beaux-Arts et d'Archéologie de Besançon,Musée des Beaux-Arts et d'Archéologie de Besançon,Unknown,355,505
1223,"The battle of Jena, October 14, 1806",http://commons.wikimedia.org/wiki/Special:FilePath/E.Jean.Horace.Vernet.Battleof.Jena1836.jpg,Horace Vernet,1836,oil paint,Museum of the History of France,Galerie des Batailles,Unknown,543,465
