id,title,image_url,artist,year,medium,collection,current_location,creation_location,height,width,movement
611,Young Woman in a Black Dress,http://commons.wikimedia.org/wiki/Special:FilePath/Donna%20con%20veste%20nera.jpg,Titian,1520,oil paint,Kunsthistorisches Museum,Kunsthistorisches Museum,Unknown,59.5,44.5,High Renaissance
612,Giovanni Borgherini and His Tutor,http://commons.wikimedia.org/wiki/Special:FilePath/Giorgione%20%28attr.%29%2C%20giovanni%20borgherini%20e%20il%20suo%20tutore.jpg,Giorgione,1505,oil paint,National Gallery of Art,National Gallery of Art,Unknown,47.0,60.7,High Renaissance
613,Judith and Holofernes,http://commons.wikimedia.org/wiki/Special:FilePath/Judith%20and%20Holofernes%20%28Michelangelo%29.jpg,Michelangelo,1508,fresco,Vatican Museums,Sistine Chapel,Unknown,570.0,970.0,High Renaissance
614,The Bohemian,http://commons.wikimedia.org/wiki/Special:FilePath/William-Adolphe%20Bouguereau%20%281825-1905%29%20-%20The%20Bohemian%20%281890%29.jpg,William-Adolphe Bouguereau,1890,oil paint,Minneapolis Institute of Art,Gale Mansion,Unknown,150.0,124.5,academic art
615,Bridal Procession on the Hardangerfjord,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Gude%2C%20Adolph%20Tidemand%20-%20Bridal%20Procession%20on%20the%20Hardangerfjord%20-%20NG.M.00467%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg,Hans Gude,1848,oil paint,"National Museum of Art, Architecture and Design","National Museum of Art, Architecture and Design",Unknown,93.5,130.1,Romanticism
616,Bridal Procession on the Hardangerfjord,http://commons.wikimedia.org/wiki/Special:FilePath/Adolph%20Tidemand%20%26%20Hans%20Gude%20-%20Bridal%20Procession%20on%20the%20Hardangerfjord%20-%20Google%20Art%20Project.jpg,Adolph Tidemand,1848,oil paint,"National Museum of Art, Architecture and Design","National Museum of Art, Architecture and Design",Unknown,93.5,130.1,Romanticism
617,"Man in Oriental Costume (""The Noble Slav"" or ""Man in a Turban"")",http://commons.wikimedia.org/wiki/Special:FilePath/Man%20in%20Oriental%20Costume%2C%20by%20Rembrandt%20van%20Rijn.jpg,Rembrandt,1632,oil paint,Metropolitan Museum of Art,Metropolitan Museum of Art,Unknown,152.7,111.1,Dutch Golden Age painting
618,Self Portrait with Two Circles,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20Self-portrait%20%28Kenwood%29.jpg,Rembrandt,1665,oil paint,Kenwood House,Netherlands,Unknown,114.3,94.0,Dutch Golden Age painting
619,Self Portrait with Beret and Turned-Up Collar,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20van%20Rijn%20-%20Self-Portrait%20-%20Google%20Art%20Project.jpg,Rembrandt,1659,canvas,Andrew W. Mellon collection,National Gallery of Art,Unknown,84.5,66.0,Dutch Golden Age painting
620,Poppy Field near Vétheuil,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Champ%20de%20coquelicots%20pr%C3%A8s%20de%20V%C3%A9theuil.jpg,Claude Monet,1879,oil paint,Kunsthaus Zürich,Brissago Islands,Vétheuil,73.0,92.0,Impressionism
621,Portrait of a Lady known as Esmeralda Brandini,http://commons.wikimedia.org/wiki/Special:FilePath/Botticelli%2C%20Sandro%20-%20Portrait%20of%20a%20Lady%20known%20as%20Smeralda%20Bandinelli%20-%20Google%20Art%20Project.jpg,Sandro Botticelli,1470,tempera,"Victoria and Albert museum prints, drawings, & paintings collection",Room 64,Florence,65.7,41.0,Early Renaissance
622,Self-portrait with three collars,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Louis%20David%20auto%20portrait%20Florence.jpg,Jacques-Louis David,1791,oil paint,Vasari Corridor,Uffizi Gallery,Unknown,64.0,53.0,Neoclassical painting
623,Madonna with Two Donors,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Vierge%20aux%20donateurs%20-%20Antoine%20van%20Dyck%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20INV%201231%20%3B%20MR%20676.jpg,Anthony van Dyck,1630,canvas,Department of Paintings of the Louvre,Room 855,Unknown,250.0,191.0,Baroque
624,Madonna and Child Enthroned and Twelve Angels,http://commons.wikimedia.org/wiki/Special:FilePath/Madonna%20and%20Child%20Enthroned%20and%20Twelve%20Angels%20%28SM%20838%29.png,Fra Angelico,1420,panel,Städel Museum,Städel Museum,Unknown,37.0,28.0,Italian Renaissance
625,Madonna with the Child,http://commons.wikimedia.org/wiki/Special:FilePath/Giotto%20di%20Bondone%20086.jpg,Giotto,1325,tempera,Samuel H. Kress Collection,National Gallery of Art,Unknown,85.5,62.0,Proto-Renaissance
626,Portrait of a Young Man,http://commons.wikimedia.org/wiki/Special:FilePath/Tiziano%2C%20ritratto%20halifax.jpg,Titian,1515,canvas,Earl of Halifax Collection,National Gallery,Unknown,100.0,84.0,Venetian school
627,A Mermaid,http://commons.wikimedia.org/wiki/Special:FilePath/John%20William%20Waterhouse%20-%20MermaidFXD.jpg,John William Waterhouse,1900,canvas,Royal Academy of Arts,Royal Academy of Arts,Unknown,96.5,66.6,Pre-Raphaelite Brotherhood
628,Portrait of a Man in a Red Cap,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20a%20Man%20in%20a%20Red%20Cap%20-%20Titian%20c.%201510.jpg,Titian,1520,oil paint,The Frick Collection,The Frick Collection,Unknown,82.0,71.0,High Renaissance
629,The Church at Auvers,http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20van%20Gogh%20-%20The%20Church%20in%20Auvers-sur-Oise%2C%20View%20from%20the%20Chevet%20-%20Google%20Art%20Project.jpg,Vincent van Gogh,1890,canvas,Musée d'Orsay,Musée d'Orsay,Auvers-sur-Oise,94.0,74.0,Post-impressionism
630,Life stages,http://commons.wikimedia.org/wiki/Special:FilePath/Caspar%20David%20Friedrich%20-%20Die%20Lebensstufen%20%28ca.%201834%29.jpg,Caspar David Friedrich,1834,oil paint,Museum der bildenden Künste,Museum der bildenden Künste,Unknown,72.5,94.0,Romanticism
631,Portrait of a Girl,http://commons.wikimedia.org/wiki/Special:FilePath/Piero%20del%20Pollaiolo%20-%20Portrait%20of%20a%20Woman%20-%20Google%20Art%20Project.jpg,Piero del Pollaiuolo,1470,panel,Museo Poldi Pezzoli,Museo Poldi Pezzoli,Florence,45.5,32.7,Early Renaissance
632,The Gross Clinic,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Eakins%2C%20American%20-%20Portrait%20of%20Dr.%20Samuel%20D.%20Gross%20%28The%20Gross%20Clinic%29%20-%20Google%20Art%20Project.jpg,Thomas Eakins,1875,oil paint,Philadelphia Art Museum,Philadelphia Art Museum,Unknown,243.8,198.1,Realism
633,The Supper at Emmaus,http://commons.wikimedia.org/wiki/Special:FilePath/Titian%20-%20Supper%20at%20Emmaus%2C%20c.%201530-34.jpg,Titian,1531,panel,Walker Art Gallery,Walker Art Gallery,Unknown,169.0,211.0,Venetian school
634,The Source,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Auguste%20Dominique%20Ingres%20-%20The%20Spring%20-%20Google%20Art%20Project%202.jpg,Alexandre Desgoffe,1856,oil paint,Musée d'Orsay,Musée d'Orsay,Unknown,163.0,80.0,Neoclassicism
635,The Source,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Auguste%20Dominique%20Ingres%20-%20The%20Spring%20-%20Google%20Art%20Project%202.jpg,Jean-Auguste-Dominique Ingres,1856,oil paint,Musée d'Orsay,Musée d'Orsay,Unknown,163.0,80.0,Neoclassicism
636,Q3937704,http://commons.wikimedia.org/wiki/Special:FilePath/Parmigianino%2C%20ritratto%20di%20giovane%20hampoton%20court.jpg,Parmigianino,1529,panel,Royal Collection,Hampton Court Palace,Unknown,97.0,82.0,High Renaissance
637,Portrait of a Young Man,http://commons.wikimedia.org/wiki/Special:FilePath/Albrecht%20D%C3%BCrer%20093.jpg,Albrecht Dürer,1500,lime panel,Bavarian State Painting Collections,"Alte Pinakothek, upper floor, gallery I",Unknown,29.1,25.4,German Renaissance
638,The Disembarkation at Marseilles,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20D%C3%A9barquement%20de%20la%20reine%20%C3%A0%20Marseille%2C%20le%203%20novembre%201600%20-%20Pierre%20Paul%20Rubens%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20INV%201774%20%3B%20MR%20965.jpg,Peter Paul Rubens,1622,canvas,Department of Paintings of the Louvre,Room 801,Unknown,394.0,295.0,Baroque
639,Vallombrosa Altarpiece,http://commons.wikimedia.org/wiki/Special:FilePath/Perugino%2C%20pala%20di%20vallombrosa.jpg,Pietro Perugino,1500,panel,Galleria dell'Accademia,Galleria dell'Accademia,Unknown,415.0,246.0,Italian Renaissance
640,Armadio degli Argenti,http://commons.wikimedia.org/wiki/Special:FilePath/Santissima%20annunziata%2C%20cappella%20degli%20ex-voto%2C%20luogo%20armadio%20degli%20argenti%20dell%27angelico%2003b.jpg,Fra Angelico,1450,tempera,Museum of San Marco,Museum of San Marco,Unknown,115.5,112.5,Italian Renaissance
641,The Cyclops,http://commons.wikimedia.org/wiki/Special:FilePath/Odilon%20Redon%20-%20The%20Cyclops%2C%20c.%201914.jpg,Odilon Redon,1914,cardboard,Kröller-Müller Museum,Kröller-Müller Museum,Unknown,65.8,52.7,Symbolism
642,Annunciation,http://commons.wikimedia.org/wiki/Special:FilePath/Fra%20Angelico%20006.jpg,Fra Angelico,1451,tempera,Museum of San Marco,Museum of San Marco,Unknown,38.5,37.0,Italian Renaissance
643,Last Judgement,http://commons.wikimedia.org/wiki/Special:FilePath/Bosch%20laatste%20oordeel%20drieluik.jpg,Hieronymus Bosch,1500,oil paint,Vlaamse Kunstcollectie,Groeningemuseum,Southern Netherlands,99.0,117.5,Early Netherlandish painting
644,The Blue Rider,http://commons.wikimedia.org/wiki/Special:FilePath/Kandinsky-Blue%20Rider.jpg,Wassily Kandinsky,1903,cardboard,http://www.wikidata.org/.well-known/genid/cbc4ae2d3da4aa8d16f9c8345e067a0d,Germany,Bavaria,55.0,60.0,Expressionism
645,Argenteuil,http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20Manet%20003.jpg,Édouard Manet,1874,oil paint,Musée des Beaux-Arts de Tournai,Musée des Beaux-Arts de Tournai,Unknown,149.0,115.0,Impressionism
646,Death of Sardanapalus,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Mort%20de%20Sardanapale%20-%20Eug%C3%A8ne%20Delacroix%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20RF%202346.jpg,Eugène Delacroix,1827,oil paint,Department of Paintings of the Louvre,Room 700,Unknown,392.0,496.0,Romanticism
647,The Massacre of the Innocents,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Bruegel%20the%20Elder%20-%20Massacre%20of%20the%20Innocents%20-%20Google%20Art%20Project.jpg,Pieter Brueghel the Elder,1566,oil paint,Royal Collection,Windsor Castle,Unknown,109.2,158.1,Northern Renaissance
648,Self-portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Self%20portrait%2C%20by%20Giorgio%20da%20Castelfranco.jpg,Giorgione,1509,oil paint,Herzog Anton Ulrich Museum,Herzog Anton Ulrich Museum,Unknown,52.0,43.0,High Renaissance
649,Self-portrait,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Self%20Portrait.jpg,Jacques-Louis David,1794,oil paint,Department of Paintings of the Louvre,Room 702,Unknown,81.0,64.0,Neoclassical painting
650,Ascension,http://commons.wikimedia.org/wiki/Special:FilePath/Giotto%20di%20Bondone%20-%20Ascension%20of%20Christ%20-%20WGA09156.jpg,Giotto,1291,fresco,Basilica of San Francesco d'Assisi,Upper Basilica of San Francesco d'Assisi,Unknown,500.0,400.0,Proto-Renaissance
651,Portrait of Professor Benjamin H. Rand,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Eakins%20-%20Professor%20Benjamin%20Howard%20Rand%20-%202007.167%20-%20Crystal%20Bridges%20Museum%20of%20American%20Art.jpg,Thomas Eakins,1874,oil paint,Crystal Bridges Museum of American Art,Crystal Bridges Museum of American Art,Thomas Jefferson University,60.0,48.0,realism
652,"Evening, Honfleur",http://commons.wikimedia.org/wiki/Special:FilePath/Georges-Pierre%20Seurat%20-%20Honfleur%2C%20un%20soir%2C%20embouchure%20de%20la%20Seine%20-%20Google%20Art%20Project.jpg,Georges Seurat,1886,oil paint,Museum of Modern Art,Museum of Modern Art,Unknown,78.3,94.0,pointillism
653,Flora,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20Harmensz.%20van%20Rijn%20059.jpg,Rembrandt,1654,canvas,Metropolitan Museum of Art,Metropolitan Museum of Art,Unknown,100.0,91.8,Dutch Golden Age painting
654,Madonna with child and Saint John the Baptist,http://commons.wikimedia.org/wiki/Special:FilePath/Pietro%20Perugino%20056.jpg,Pietro Perugino,1497,panel,Städel Museum,Städel Museum,Unknown,73.0,52.0,Italian Renaissance
655,Madonna and Child,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20botticelli%2C%20madonna%20col%20bambino%20%28avignone%29%2C%201467-70%20ca.%2001.jpg,Sandro Botticelli,1467,panel,Campana collection,Musée du Petit Palais,Unknown,72.0,51.0,Renaissance
656,"Jesse, David and Solomon",http://commons.wikimedia.org/wiki/Special:FilePath/Michelangelo%2C%20lunetta%2C%20Jesse%20-%20David%20-%20Solomon%2001.jpg,Michelangelo,1511,fresco,Vatican Museums,Vatican Museums,Unknown,215.0,430.0,High Renaissance
657,The Turkeys,http://commons.wikimedia.org/wiki/Special:FilePath/Monet%20-%20Truth%C3%A4hne.jpg,Claude Monet,1877,oil paint,Musée d'Orsay,Galerie nationale du Jeu de Paume,Unknown,174.5,172.5,Impressionism
658,Portrait of Giovanni de' Medici as a Child,http://commons.wikimedia.org/wiki/Special:FilePath/Bronzino%20-%20Portrait%20of%20Giovanni%20de%E2%80%99%20Medici%20-%201475%20-%20Uffizi%20Gallery.jpg,Bronzino,1545,tempera,Uffizi Gallery,Uffizi Gallery,Unknown,58.0,45.0,Italian Renaissance painting
659,Virgin and Child with the Infant John the Baptist,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20botticelli%20e%20bottega%2C%20madonna%20col%20bambino%20e%20san%20giovannino%20in%20un%20tondo%2C%201490-1500%20ca.%2001.JPG,Sandro Botticelli,1490,panel,São Paulo Museum of Art,São Paulo Museum of Art,Unknown,74.0,74.0,Early Renaissance
660,Madonna and Child,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20botticelli%2C%20madonna%20col%20bambino%20%28avignone%29%2C%201467-70%20ca.%2001.jpg,Filippino Lippi,1467,panel,Campana collection,Musée du Petit Palais,Unknown,72.0,51.0,Renaissance
661,La Bella,http://commons.wikimedia.org/wiki/Special:FilePath/Tiziano%20Vecellio%20%28Pieve%20di%20Cadore%201488-90%20-%20Venezia%201576%29%20-%20Ritratto%20di%20gentildonna%20%28La%20Bella%29%20-%2018%20-%20Galleria%20Palatina.jpg,Titian,1537,canvas,Galleria Palatina,Hall of Venus,Unknown,89.0,76.0,Venetian school
662,Le Bassin d'Argenteuil,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Bassin%20d%27Argenteuil%20-%20Google%20Art%20Project.jpg,Claude Monet,1872,oil paint,Musée d'Orsay,Musée d'Orsay,Unknown,600.0,800.0,Impressionism
663,The Canal du Loing at Moret,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Sisley%20-%20The%20Loing%27s%20Canal%20-%20Google%20Art%20Project.jpg,Alfred Sisley,1892,oil paint,Musée d'Orsay,Musée d'Orsay,Unknown,73.5,92.5,Impressionism
664,Madonna del Padiglione,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20059.jpg,Sandro Botticelli,1490,tempera,Pinacoteca Ambrosiana,Pinacoteca Ambrosiana,Unknown,65.0,65.0,Early Renaissance
665,"The Battle of Austerlitz, 2nd December 1805",http://commons.wikimedia.org/wiki/Special:FilePath/La%20bataille%20d%27Austerlitz.%202%20decembre%201805%20%28Fran%C3%A7ois%20G%C3%A9rard%29.jpg,François Gérard,1808,oil paint,Museum of the History of France,Galerie des Batailles,Unknown,510.0,958.0,Romantic painting
666,Saint Augustine in His Cell,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20-%20St%20Augustin%20dans%20son%20cabinet%20de%20travail.jpg,Sandro Botticelli,1490,panel,Uffizi Gallery,Q117287777,Unknown,41.0,27.0,Early Renaissance
667,The Chemise Withdrawn,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Honor%C3%A9%20Fragonard%20-%20The%20Shirt%20Withdrawn%20-%20WGA8069.jpg,Jean-Honoré Fragonard,1770,oil paint,Department of Paintings of the Louvre,Room 930,Unknown,35.0,42.5,Rococo
668,Still Life with Peacocks,http://commons.wikimedia.org/wiki/Special:FilePath/Harmensz%20van%20Rijn%20Rembrandt%20%281606-1669%29%20-%20Stillleben%20mit%20M%C3%A4dchen%2C%20Pfauen%20und%20Obstkorb%20-%202418%20-%20F%C3%BChrermuseum.jpg,Rembrandt,1639,oil paint,Rijksmuseum,Rijksmuseum,Unknown,145.0,135.5,Dutch Golden Age painting
669,Stag at Sharkey's,http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bellows%20%28American%2C%201882-1925%29%20-%20Stag%20at%20Sharkey%27s%20-%201922.1133%20-%20Cleveland%20Museum%20of%20Art.jpg,George Bellows,1909,oil paint,Cleveland Museum of Art,Cleveland Museum of Art,Unknown,92.0,122.6,Ashcan School
670,Della Scala Annunciation,http://commons.wikimedia.org/wiki/Special:FilePath/Annunciation%20-%20Sarto.jpg,Andrea del Sarto,1528,oil paint,Galleria Palatina,Galleria Palatina,Unknown,96.0,189.0,High Renaissance
671,Watson and the Shark,http://commons.wikimedia.org/wiki/Special:FilePath/Watsonandtheshark-original.jpg,John Singleton Copley,1778,oil paint,National Gallery of Art,United States,London,90.0,70.0,Pre-romanticism
672,Brera Madonna,http://commons.wikimedia.org/wiki/Special:FilePath/Piero%20della%20Francesca%20046.jpg,Piero della Francesca,1472,oil paint,Pinacoteca di Brera,Pinacoteca di Brera,Unknown,248.0,170.0,Early Renaissance
673,Annunciation,http://commons.wikimedia.org/wiki/Special:FilePath/L%27Annonciation%2C%20by%20Leonardo%20da%20Vinci%2C%20from%20C2RMF%20retouched.jpg,Lorenzo di Credi,1475,panel,Campana collection,Uffizi Gallery,Unknown,16.0,60.0,Italian Renaissance
674,Chalk Cliffs at Ruegen,http://commons.wikimedia.org/wiki/Special:FilePath/Friedrich%2C%20Caspar%20David%20-%20Kreidefelsen%20auf%20R%C3%BCgen.jpg,Caspar David Friedrich,1818,oil paint,Kunst Museum Winterthur | Reinhart am Stadtgarten,Kunst Museum Winterthur | Reinhart am Stadtgarten,Unknown,90.5,71.0,Romanticism
675,Pala Baglioni,http://commons.wikimedia.org/wiki/Special:FilePath/Rekonstruktion%20%27Pala%20Baglioni%27.jpg,Domenico Alfani,1507,oil paint,Galleria Borghese,Galleria Borghese,Unknown,184.0,176.0,High Renaissance
676,Pala Baglioni,http://commons.wikimedia.org/wiki/Special:FilePath/Rekonstruktion%20%27Pala%20Baglioni%27.jpg,Raphael,1507,oil paint,Galleria Borghese,Galleria Borghese,Unknown,184.0,176.0,High Renaissance
677,An Experiment on a Bird in the Air Pump,http://commons.wikimedia.org/wiki/Special:FilePath/An%20Experiment%20on%20a%20Bird%20in%20an%20Air%20Pump%20by%20Joseph%20Wright%20of%20Derby%2C%201768.jpg,Joseph Wright of Derby,1768,canvas,National Gallery,National Gallery,Unknown,483.0,586.0,Romanticism
678,Saturn Devouring His Son,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20de%20Goya%2C%20Saturno%20devorando%20a%20su%20hijo%20%281819-1823%29.jpg,Francisco Goya,1820,canvas,Museo del Prado,Museo del Prado,Unknown,143.5,81.4,Romanticism
679,Le Déjeuner sur l'herbe,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Le%20dejeurner%20sur%20l%27herbe%20%28left%20panel%29.jpg,Claude Monet,1865,oil paint,Musée d'Orsay,Musée d'Orsay,Chailly-en-Bière,248.0,150.0,Impressionism
680,Belshazzar's Feast,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt-Belsazar.jpg,Rembrandt,1636,oil paint,National Gallery,National Gallery,Unknown,167.6,209.2,Dutch Golden Age painting
681,Death and the Child,http://commons.wikimedia.org/wiki/Special:FilePath/Edvard%20Munch%20-%20Death%20and%20the%20Child%20%281899%29%2C%20Kunsthalle%20Bremen.jpg,Edvard Munch,1899,oil paint,Kunsthalle Bremen,Kunsthalle Bremen,Unknown,100.0,90.0,Expressionism
682,Benois Madonna,http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%2C%20Madonna%20Benois.JPG,Leonardo da Vinci,1480,panel,Hermitage Museum,Hermitage Museum,Italy,49.5,33.0,Early Renaissance
683,The Card Players,http://commons.wikimedia.org/wiki/Special:FilePath/Les%20Joueurs%20de%20cartes%2C%20par%20Paul%20C%C3%A9zanne.jpg,Paul Cézanne,1890,oil paint,Musée d'Orsay,Musée d'Orsay,Unknown,47.5,57.0,Post-impressionism
684,Portrait of Giulia Varano,http://commons.wikimedia.org/wiki/Special:FilePath/Titian%20-%20Giulia%20Varano%2C%20Duchess%20of%20Urbino%20-%20WGA22928.jpg,Titian,1546,panel,Galleria Palatina,Galleria Palatina,Unknown,113.0,87.0,Venetian school
685,The Painter's Studio,http://commons.wikimedia.org/wiki/Special:FilePath/Courbet%20LAtelier%20du%20peintre.jpg,Gustave Courbet,1850,oil paint,Musée d'Orsay,Musée d'Orsay,Unknown,361.0,598.0,Realism
686,Léal Souvenir,http://commons.wikimedia.org/wiki/Special:FilePath/Eyck%2C%20Jan%20van%20-%20Portrait%20of%20a%20Young%20Man%20%28Tymotheos%29%20-%20National%20Gallery%2C%20London.jpg,Jan van Eyck,1432,panel,National Gallery,Room 15,Unknown,34.5,19.0,Early Netherlandish painting
687,Ezekiel's Vision,http://commons.wikimedia.org/wiki/Special:FilePath/Raffaello%20-%20Visione%20di%20Ezechiele.jpg,Raphael,1518,panel,Galleria Palatina,Galleria Palatina,Unknown,41.0,30.0,High Renaissance
688,Corner of the Garden at Montgeron,http://commons.wikimedia.org/wiki/Special:FilePath/Monet%2C%20Claude%20-%20Corner%20of%20the%20Garden%20at%20Montgeron.jpg,Claude Monet,1877,oil paint,Hermitage Museum,Hermitage Museum,France,175.0,194.0,Impressionism
689,Luncheon of the Boating Party,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre-Auguste%20Renoir%20-%20Luncheon%20of%20the%20Boating%20Party%20-%20Google%20Art%20Project.jpg,Pierre-Auguste Renoir,1880,oil paint,The Phillips Collection,The Phillips Collection,Unknown,130.0,173.0,Impressionism
690,The Blinding of Samson,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Blinding%20of%20Samson%20%28SM%201383%29.png,Rembrandt,1636,oil paint,Städel Museum,Städel Museum,Unknown,219.3,305.0,Baroque
691,Solitary Tree,http://commons.wikimedia.org/wiki/Special:FilePath/Der%20einsame%20Baum%20-%20Caspar%20David%20Friedrich%20-%20Alte%20Nationalgalerie%20W.S.%2052.jpg,Caspar David Friedrich,1822,canvas,Alte Nationalgalerie,Alte Nationalgalerie,Unknown,55.0,71.0,Romanticism
692,The Birth of Venus,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Cabanel%20-%20The%20Birth%20of%20Venus%20-%20Google%20Art%20Project%202.jpg,Alexandre Cabanel,1863,oil paint,Musée d'Orsay,Musée d'Orsay,Unknown,130.0,225.0,academic art
693,The Tower of Blue Horses,http://commons.wikimedia.org/wiki/Special:FilePath/Franz%20Marc%20029a.jpg,Franz Marc,1913,canvas,Alte Nationalgalerie,http://www.wikidata.org/.well-known/genid/1db2569262efe714240be909734ab336,Unknown,200.0,130.0,Expressionism
694,"Rouen Cathedral, End of the Day",http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Rouen%20Cathedral%20in%20the%20evening%20%281894%29%20-%20Pushkin%20Museum%20%D0%96-3312.jpg,Claude Monet,1892,canvas,Pushkin Museum of Fine Arts,Pushkin Museum of Fine Arts,Unknown,100.2,65.3,Impressionism
695,Bacchus and Ariadne,http://commons.wikimedia.org/wiki/Special:FilePath/Titian%20Bacchus%20and%20Ariadne.jpg,Titian,1520,oil paint,National Gallery,National Gallery,Venice,176.5,191.0,Venetian school
696,The Ambassadors,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Holbein%20the%20Younger%20-%20The%20Ambassadors%20-%20Google%20Art%20Project.jpg,Hans Holbein the Younger,1533,oil paint,National Gallery,National Gallery,London,207.0,209.0,Mannerism
697,Flagellation of Christ,http://commons.wikimedia.org/wiki/Special:FilePath/Piero%20della%20Francesca%20Flagellazione-gndm-full.jpg,Piero della Francesca,1459,tempera,Galleria Nazionale delle Marche,Galleria Nazionale delle Marche,Unknown,67.5,91.0,Early Renaissance
698,The Women of Algiers,http://commons.wikimedia.org/wiki/Special:FilePath/Femmes%20d%27Alger%20dans%20leur%20appartement%2C%20Eug%C3%A8ne%20Delacroix%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20INV%203824.jpg,Eugène Delacroix,1834,Reverse glass painting,Department of Paintings of the Louvre,Room 700,Unknown,180.0,229.0,Romanticism
699,The Fourth Estate,http://commons.wikimedia.org/wiki/Special:FilePath/Quarto%20Stato.jpg,Giuseppe Pellizza da Volpedo,1901,oil paint,Galleria d'arte moderna di Milano,Galleria d'arte moderna di Milano,Unknown,283.0,550.0,Novecento Italiano
700,The Watzmann,http://commons.wikimedia.org/wiki/Special:FilePath/Caspar%20David%20Friedrich%20-%20The%20Watzmann%20%281824-25%29.jpg,Caspar David Friedrich,1820,oil paint,Alte Nationalgalerie,Alte Nationalgalerie,Unknown,135.0,170.0,Romanticism
701,The Entombment,http://commons.wikimedia.org/wiki/Special:FilePath/Entombment%20Michelangelo.jpg,Michelangelo,1500,panel,National Gallery,National Gallery,Unknown,161.7,149.9,High Renaissance
702,Philosopher in Meditation,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20-%20The%20Philosopher%20in%20Meditation%20%28cleaned%29.jpg,Rembrandt,1632,oak panel,Cabinet de Monseigneur le duc de Choiseul,Louvre Abu Dhabi,Unknown,28.0,34.0,Dutch Golden Age painting
703,Phaedra and Hippolytus,http://commons.wikimedia.org/wiki/Special:FilePath/Ph%C3%A8dre%20et%20Hippolyte%2C%20Pierre-Narcisse%20Gu%C3%A9rin%20-%20esquisse%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20RF%201982%2013%20-%20Q3382090.jpg,Pierre-Narcisse Guérin,1802,paper,Department of Paintings of the Louvre,Room 936,Unknown,33.0,46.0,Neoclassicism
704,Portrait d'Alexandre Lenoir,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Lenoir%20by%20Jacques%20Louis%20David.jpg,Jacques-Louis David,1816,oak panel,Department of Paintings of the Louvre,Room 935,Unknown,76.5,62.5,Neoclassicism
705,The Goose Girl,http://commons.wikimedia.org/wiki/Special:FilePath/William-Adolphe%20Bouguereau%20%281825-1905%29%20-%20The%20Goose%20Girl%20%281891%29.jpg,William-Adolphe Bouguereau,1891,oil paint,Herbert F. Johnson Museum of Art,Herbert F. Johnson Museum of Art,Unknown,60.0,29.0,academic art
706,Unfinished Portrait of General Bonaparte,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20011.jpg,Jacques-Louis David,1797,oil paint,Department of Paintings of the Louvre,Room 714,Unknown,81.0,65.0,Neoclassicism
