id,title,image_url,artist,year,medium,collection,current_location,creation_location,height,width,movement
152,Bal du moulin de la Galette,http://commons.wikimedia.org/wiki/Special:FilePath/Auguste%20Renoir%20-%20Dance%20at%20Le%20Moulin%20de%20la%20Galette%20-%20Google%20Art%20Project.jpg,Pierre-Auguste Renoir,1876,canvas,Musée d'Orsay,Galerie nationale du Jeu de Paume,Unknown,131.0,175.0,Impressionism
153,A Girl Asleep,http://commons.wikimedia.org/wiki/Special:FilePath/Vermeer%20young%20women%20sleeping.jpg,Johannes Vermeer,1657,canvas,Metropolitan Museum of Art,Metropolitan Museum of Art,Unknown,87.6,76.5,Dutch Golden Age painting
154,Christ Carrying the Cross,http://commons.wikimedia.org/wiki/Special:FilePath/Bosch%20-%20Christ%20Carrying%20the%20Cross%2C%20ca.%201510%20-%20ca.%201516%2C%20Inv.%201902-H.jpg,Hieronymus Bosch,1510,panel,Museum of Fine Arts Ghent (MSK),Museum of Fine Arts Ghent (MSK),Unknown,76.7,83.5,Early Netherlandish painting
155,The Cardsharps,http://commons.wikimedia.org/wiki/Special:FilePath/Caravaggio%20%28Michelangelo%20Merisi%29%20-%20The%20Cardsharps%20-%20Google%20Art%20Project.jpg,Caravaggio,1594,oil paint,Kimbell Art Museum,Kimbell Art Museum,Unknown,94.2,130.9,Baroque
156,The Anatomy Lesson of Dr. Nicolaes Tulp,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20-%20The%20Anatomy%20Lesson%20of%20Dr%20Nicolaes%20Tulp.jpg,Rembrandt,1632,oil paint,Mauritshuis,Mauritshuis,Unknown,169.5,216.5,Dutch Golden Age painting
157,Madonna of the Carnation,http://commons.wikimedia.org/wiki/Special:FilePath/Madonna%20of%20the%20Carnation%20-%20Leonardo%20da%20Vinci.jpg,Leonardo da Vinci,1475,panel,Bavarian State Painting Collections,Alte Pinakothek,Unknown,62.0,47.5,Italian Renaissance
158,Apollo and Marsyas,http://commons.wikimedia.org/wiki/Special:FilePath/Apollon%20et%20Daphnis%20-%20Le%20P%C3%A9rugin%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20RF%20370.jpg,Pietro Perugino,1497,oil paint,Department of Paintings of the Louvre,Room 709,Unknown,39.0,29.0,Italian Renaissance
159,Martyrdom of the Ten Thousand,http://commons.wikimedia.org/wiki/Special:FilePath/D%C3%BCrer%2C%20Albrecht%20-%20Marter%20der%20zehntausend%20Christen%20-%20KHM.jpg,Albrecht Dürer,1508,oil paint,Kunsthistorisches Museum,Kunsthistorisches Museum,Unknown,99.0,87.0,German Renaissance
160,Adoration of the Trinity,http://commons.wikimedia.org/wiki/Special:FilePath/Albrecht%20D%C3%BCrer%20-%20Adoration%20of%20the%20Trinity%20%28Landauer%20Altar%29%20-%20Google%20Art%20Project.jpg,Albrecht Dürer,1511,lime panel,Kunsthistorisches Museum,German paintings - hall XI,Unknown,135.0,123.4,German Renaissance
161,The Night Café,http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20Willem%20van%20Gogh%20076.jpg,Vincent van Gogh,1888,oil paint,Yale University Art Gallery,Yale University Art Gallery,Arles,72.4,92.1,Neo-impressionism
162,Mountains Mont Sainte-Victoire Seen from the Bibémus Quarry,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Montagne%20Sainte-Victoire%20vue%20de%20la%20carri%C3%A8re%20Bib%C3%A9mus%2C%20par%20Paul%20C%C3%A9zanne.jpg,Paul Cézanne,1897,oil paint,Baltimore Museum of Art,Baltimore Museum of Art,France,65.0,81.0,Post-impressionism
163,Whistler's Mother,http://commons.wikimedia.org/wiki/Special:FilePath/Whistlers%20Mother%20high%20res.jpg,James McNeill Whistler,1871,oil paint,Musée d'Orsay,Musée d'Orsay,Unknown,144.3,163.0,Tonalism
164,Woman in the Garden,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20022.jpg,Claude Monet,1867,oil paint,Hermitage Museum,Hermitage Museum,Sainte-Adresse,82.0,101.0,Impressionism
165,Portrait of a young woman,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait-of-a-Young-Girl-Raphael.jpg,Raphael,1519,oil paint,Musée des Beaux-Arts de Strasbourg,Musée des Beaux-Arts de Strasbourg,Unknown,60.0,44.0,High Renaissance
166,Salisbury Cathedral from the Meadows,http://commons.wikimedia.org/wiki/Special:FilePath/Constable%20Salisbury%20meadows.jpg,John Constable,1831,canvas,Tate,Scottish National Gallery,Unknown,151.8,189.9,Impressionism
167,The Wine Glass,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Vermeer%20van%20Delft%20-%20The%20Glass%20of%20Wine%20-%20Google%20Art%20Project.jpg,Jan Vermeer van Haarlem the Elder,1659,oil paint,Gemäldegalerie Berlin,Gemäldegalerie Berlin,Unknown,67.7,79.6,Dutch Golden Age painting
